Jahr,Alter,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember
2020,70-75,6653,6224,6893,6603,6134,5905,5895,6300,6112,6580,6895,8534
2020,75-80,11018,10459,11272,10860,9535,8986,9410,9625,9267,9680,10375,12742
2020,80-85,16556,15783,17140,16772,14716,13924,14311,15494,14579,15743,17317,22460
2020,85-90,15577,14530,16076,15569,13959,13143,13202,14477,13704,14762,16683,21929
2020,90-95,12282,11487,12598,11993,10418,9958,10273,11328,10156,11389,12498,16834
2020,95+,4993,4759,5281,4933,4366,4235,4232,4768,4431,4685,5222,6974
2019,0-15,333,326,320,294,272,297,283,283,285,279,276,308
2019,15-30,333,327,332,305,337,335,370,363,303,319,327,318
2019,30-35,232,199,228,238,220,224,218,215,219,213,209,220
2019,35-40,306,323,335,308,289,336,317,343,324,334,326,358
2019,40-45,485,449,498,416,445,476,443,448,432,445,470,428
2019,45-50,952,851,892,850,823,857,814,824,781,847,814,835
2019,50-55,1981,1852,1961,1770,1703,1758,1762,1740,1743,1698,1695,1752
2019,55-60,3132,2949,3129,2956,2963,2908,2990,2821,2769,2900,2969,3066
2019,60-65,4424,4060,4499,3965,4014,3936,4072,3904,3756,4075,4065,4196
2019,65-70,5824,5617,5827,5340,5426,5122,5527,5294,5124,5361,5287,5755
2019,70-75,6542,6391,6703,6140,6010,5746,6129,5839,5593,6116,6115,6566
2019,75-80,11790,11199,12089,10862,10606,10217,10452,10041,9713,10518,10513,11065
2019,80-85,16152,15632,16724,14947,14562,14108,14949,14177,13702,14922,15388,16176
2019,85-90,15582,14812,15852,13883,13236,13055,13615,13033,12550,13783,14115,15410
2019,90-95,11986,11402,12319,10703,10492,9980,10611,10048,9768,10727,11234,11987
2019,95+,5051,4620,5031,4433,4271,4128,4374,4071,3960,4469,4575,4889
2018,0-15,314,288,329,303,263,322,311,309,269,312,293,300
2018,15-30,386,329,377,357,355,345,370,371,329,336,323,324
2018,30-35,243,194,248,209,229,210,240,231,199,209,208,217
2018,35-40,304,287,373,324,343,317,330,323,280,302,341,309
2018,40-45,496,485,536,457,463,418,495,462,418,435,424,458
2018,45-50,1051,946,1070,915,917,873,940,930,849,886,837,846
2018,50-55,1991,1927,2226,1898,1849,1845,1817,1909,1759,1850,1775,1808
2018,55-60,3204,3035,3748,3092,2966,2748,2956,3030,2742,2957,2961,3013
2018,60-65,4392,4190,5062,4140,4006,3863,4053,4052,3756,3972,3912,4186
2018,65-70,5685,5608,6927,5470,5303,4842,5344,5546,5013,5201,5241,5480
2018,70-75,6671,6878,8192,6292,5924,5555,6075,6099,5582,5987,5811,6371
2018,75-80,12442,12480,15298,11587,10758,10125,10768,11237,9880,10584,10711,11430
2018,80-85,15346,15584,19658,14500,13819,12784,13747,14500,13066,13804,14291,15589
2018,85-90,15761,15943,20552,14541,13562,12196,13661,14340,12394,13189,13392,14537
2018,90-95,11827,12411,15861,10929,9847,9168,10347,10717,9384,9945,10106,11429
2018,95+,4860,5214,6647,4525,4044,3717,4151,4314,3788,4070,4136,4702
2017,0-15,337,280,355,296,298,287,304,297,269,297,246,307
2017,15-30,397,346,342,333,358,354,332,344,351,320,325,353
2017,30-35,232,207,241,252,242,245,227,226,217,210,211,203
2017,35-40,300,311,310,292,360,297,278,316,303,339,317,329
2017,40-45,486,463,434,413,473,443,444,464,409,421,419,445
2017,45-50,1088,967,1093,1001,999,970,942,942,968,930,934,918
2017,50-55,2070,1903,1965,1807,2003,1827,1847,1821,1777,1985,1932,1945
2017,55-60,3346,3000,3054,2888,2919,2849,2850,2787,2704,2898,2817,2961
2017,60-65,4510,4101,3992,3874,4004,3768,3860,3974,3561,3908,3953,4186
2017,65-70,5867,5416,5470,4809,5253,4851,5125,5127,4861,5177,5281,5493
2017,70-75,7605,7076,6622,6195,6205,5623,5939,5894,5771,6118,6016,6524
2017,75-80,14182,13341,12543,11133,11402,10483,10832,10635,10490,11074,11032,12085
2017,80-85,16835,16026,14616,12809,13340,12278,12590,12585,12351,13526,13492,14894
2017,85-90,18767,17997,15722,13474,13911,12515,13027,12997,12708,13738,13777,15311
2017,90-95,14348,13824,11496,9877,9998,9288,9199,9263,9063,10229,10124,11146
2017,95+,5663,5391,4679,3751,3918,3566,3615,3816,3588,4059,4111,4510
2016,0-15,298,302,373,293,324,298,329,306,313,306,322,333
2016,15-30,359,339,359,324,390,350,399,370,380,384,370,348
2016,30-35,251,246,236,214,199,210,226,242,201,249,206,210
2016,35-40,301,280,328,309,364,299,309,301,296,294,307,329
2016,40-45,516,487,552,479,491,440,464,470,478,477,501,497
2016,45-50,1126,1078,1157,1076,1039,1016,1112,1016,1026,1046,1016,1084
2016,50-55,2137,2030,2146,1958,1999,1909,1897,1885,1772,1972,1879,2008
2016,55-60,3141,2971,3207,2938,2871,2801,2904,2848,2830,3003,2891,3028
2016,60-65,4203,4030,4373,3961,3861,3791,3866,3861,3569,3889,3903,4151
2016,65-70,5355,5011,5433,4898,5074,4671,4920,4939,4778,5187,5017,5520
2016,70-75,7175,6784,7440,6740,6434,6097,6319,6122,5863,6269,6305,6918
2016,75-80,12388,11644,12850,11600,11181,10740,10957,10844,10483,11566,11709,12805
2016,80-85,13721,12988,14230,12632,12915,11729,12264,12238,11770,13147,13534,14704
2016,85-90,15688,14556,15697,14250,13977,12588,13338,13145,12929,14189,14629,16123
2016,90-95,11244,10304,11333,10022,9818,8960,9401,9243,9004,10221,10446,11830
2016,95+,3839,3569,3954,3621,3588,3287,3417,3465,3345,3802,4015,4451
